stride,size,t
19,524288,106267141
19,1048576,101713544
19,2097152,102776713
19,4194304,155083277
19,8388608,165739783
19,16777216,168191614
19,33554432,166202262
19,67108864,166025231
20,2048,96315683
20,4096,98126707
20,8192,83278911
20,16384,82887395
20,32768,83763210
20,65536,91039630
20,131072,87683829
20,262144,86630823
20,524288,102351067
20,1048576,103032775
20,2097152,109784727
20,4194304,163564905
20,8388608,177298089
20,16777216,178120520
20,33554432,177151252
20,67108864,177173622
21,2048,98767256
21,4096,83195057
21,8192,82511943
21,16384,83584857
21,32768,84263152
21,65536,88043118
21,131072,87952987
21,262144,88098492
21,524288,104809837
21,1048576,114986033
21,2097152,107221306
21,4194304,177028644
21,8388608,181459201
21,16777216,181667279
21,33554432,182364780
21,67108864,182217094
22,2048,99442199
22,4096,90282288
22,8192,86342909
22,16384,81666219
22,32768,83032869
22,65536,88393692
22,131072,98768902
22,262144,89162933
22,524288,109211432
22,1048576,110495368
22,2097152,109169927
22,4194304,175959314
22,8388608,189238926
22,16777216,189376411
22,33554432,194470679
22,67108864,195190068
23,2048,120050028
23,4096,88053333
23,8192,82772826
23,16384,84725022
23,32768,93581879
23,65536,89828740
23,131072,90140422
23,262144,89813019
23,524288,108413863
23,1048576,110280665
23,2097152,111877961
23,4194304,178226505
23,8388608,206660189
23,16777216,202070290
23,33554432,202883813
23,67108864,202431368
24,2048,98740180
24,4096,83837574
24,8192,84003707
24,16384,84067023
24,32768,86842635
24,65536,89787935
24,131072,89863389
24,262144,97346234
24,524288,109513371
24,1048576,121235232
24,2097152,119115522
24,4194304,181989852
24,8388608,208680482
24,16777216,209254157
24,33554432,208734083
24,67108864,208826687
25,2048,110460500
25,4096,83338938
25,8192,83083775
25,16384,88775288
25,32768,84707266
25,65536,90371657
25,131072,90935735
25,262144,91498607
25,524288,121632029
25,1048576,113917898
25,2097152,116409002
25,4194304,196518421
25,8388608,216897322
25,16777216,217930183
25,33554432,227683943
25,67108864,215898403
26,2048,98480469
26,4096,83823651
26,8192,83502048
26,16384,89166004
26,32768,84561903
26,65536,91875003
26,131072,94628305
26,262144,92455708
26,524288,112589620
26,1048576,116048600
26,2097152,118183467
26,4194304,197317545
26,8388608,225655173
26,16777216,224861410
26,33554432,221921199
26,67108864,221265593
27,2048,98479335
27,4096,88261931
27,8192,83692563
27,16384,83632013
27,32768,94887762
27,65536,98524317
27,131072,92795887
27,262144,93451308
27,524288,114093122
27,1048576,118181984
27,2097152,121969183
27,4194304,204724030
27,8388608,236835897
27,16777216,236052320
27,33554432,234053008
27,67108864,231258695
28,2048,100452407
28,4096,83432341
28,8192,83667508
28,16384,83491727
28,32768,84890625
28,65536,99070097
28,131072,93955669
28,262144,94869298
28,524288,118870198
28,1048576,119908587
28,2097152,129692166
28,4194304,212845838
28,8388608,239356334
28,16777216,241027212
28,33554432,239376900
28,67108864,245504505
29,2048,97345550
29,4096,83042376
29,8192,82642855
29,16384,88447872
29,32768,83886627
29,65536,94325172
29,131072,94160468
29,262144,95016086
29,524288,122581042
29,1048576,122202060
29,2097152,125157797
29,4194304,220085939
29,8388608,248866451
29,16777216,248705065
29,33554432,250933716
29,67108864,248900885
30,2048,95962665
30,4096,83021156
30,8192,83355546
30,16384,81855791
30,32768,84815547
30,65536,100920568
30,131072,100765741
30,262144,95647008
30,524288,124262161
30,1048576,136230513
30,2097152,130535316
30,4194304,225063890
30,8388608,261869089
30,16777216,265276469
30,33554432,266387589
30,67108864,266476422
31,2048,122528972
31,4096,91370491
31,8192,90279913
31,16384,91357617
31,32768,90181050
31,65536,103585714
31,131072,105840038
31,262144,106846207
31,524288,137489442
31,1048576,126956571
31,2097152,140101136
31,4194304,239121440
31,8388608,263611785
31,16777216,271283746
31,33554432,269442759
31,67108864,263972664
32,2048,68410009
32,4096,68427968
32,8192,68335514
32,16384,68390666
32,32768,73823418
32,65536,82992298
32,131072,82740850
32,262144,84383978
32,524288,122468048
32,1048576,128342081
32,2097152,126736309
32,4194304,235407996
32,8388608,273551988
32,16777216,268407065
32,33554432,272126354
32,67108864,272032248
