stride, size, friendly, unfriendly
 3,  8388608, 13613924,   15218936
 3,  8388608, 13653371,   15140585
 3,  8388608, 13631783,   15249857
 3,  8388608, 13651158,   15162616
 3, 16777216, 27289015,   30883926
 3, 16777216, 27289467,   30440762
 3, 16777216, 27285266,   30929347
 3, 16777216, 27343711,   30617182
 3, 16777216, 27273544,   31103539
 3, 33554432, 54555338,   61620602
 3, 33554432, 54586409,   62940701
 3, 33554432, 54575148,   62521216
 3, 33554432, 54534799,   63196996
 3, 33554432, 54625244,   61432890
 4,     4096,     6558,       6812
 4,     4096,     6531,       6804
 4,     4096,     6524,       6806
 4,     4096,     6541,       6803
 4,     4096,     6526,       6803
 4,     8192,    13016,      13539
 4,     8192,    13009,      13539
 4,     8192,    13033,      13541
 4,     8192,    13008,      13541
 4,     8192,    13017,      13539
 4,    16384,    25974,      27025
 4,    16384,    26001,      27025
 4,    16384,    25976,      27020
 4,    16384,    25986,      27020
 4,    16384,    25977,      27020
 4,    32768,    51961,      53977
 4,    32768,    51910,      53972
 4,    32768,    51917,      53973
 4,    32768,    51910,      53974
 4,    32768,    51909,      53974
 4,    65536,   103823,     107896
 4,    65536,   103801,     107889
 4,    65536,   146500,     107945
 4,    65536,   103823,     107889
 4,    65536,   103806,     107901
 4,   131072,   207533,     215825
 4,   131072,   207541,     215817
 4,   131072,   207575,     215820
 4,   131072,   207556,     215826
 4,   131072,   207556,     221142
 4,   262144,   415137,     432255
 4,   262144,   415041,     432209
 4,   262144,   415026,     432346
 4,   262144,   420431,     432323
 4,   262144,   415043,     432301
 4,   524288,   830200,     877130
 4,   524288,   830102,     864409
 4,   524288,   836127,     864475
 4,   524288,   830006,     864398
 4,   524288,   830030,     864517
 4,  1048576,  1687566,    1753341
 4,  1048576,  1667535,    1754617
 4,  1048576,  1665836,    1770464
 4,  1048576,  1677563,    1757329
 4,  1048576,  1676024,    1748641
 4,  2097152,  3407889,    3934425
 4,  2097152,  3410912,    3929474
 4,  2097152,  3433137,    3962537
 4,  2097152,  3430200,    3959444
 4,  2097152,  3424767,    3932968
 4,  4194304,  6842488,    8383513
 4,  4194304,  6831461,    9017536
 4,  4194304,  6828771,    8379097
 4,  4194304,  6831024,    7986178
 4,  4194304,  6827790,    8295186
 4,  8388608, 13654550,   17467780
 4,  8388608, 13637139,   17315092
 4,  8388608, 13627886,   17301854
 4,  8388608, 13651834,   18102618
 4,  8388608, 13657325,   17944990
 4, 16777216, 30490250,   39703438
 4, 16777216, 27316243,   37815086
 4, 16777216, 27262700,   37650475
 4, 16777216, 27301742,   37598093
 4, 16777216, 27264831,   37903146
