 num,  friendly, unfriendly
1084,   1885853,    5536452
1088,   1888840,    5587807
1092,   1926878,    5818969
1096,   1915094,    5879760
1100,   1943175,    6008256
1104,   1942937,    6073460
1108,   1961192,    6326672
1112,   1986249,    6380301
1116,   2002305,    6663983
1120,   2016820,    6802748
1124,   2029267,    7148620
1128,   2044714,    7297292
1132,   2060297,    7570691
1136,   2075599,    7750967
1140,   2091581,    8101404
1144,   2088616,    8372510
1148,   2118737,    8457256
1152,   2120121,    8899408
1156,   2167828,    8664493
1160,   2166196,    8705700
1164,   2182247,    8852461
1168,   2196758,    8883678
1172,   2196431,    9067853
1176,   2254045,    9104857
1180,   2247735,    9235813
1184,   2258791,    9264836
1188,   2257004,    9429470
1192,   2275618,    9478555
1196,   2308049,    9557446
1200,   2323623,    9656417
1204,   2356672,    9759330
1208,   2357614,    9907977
1212,   2370286,   10011735
1216,   2405317,    9960813
1220,   2402936,   10225304
1224,   2401766,   10260224
1228,   2430773,   10437753
1232,   2447424,   10447122
1236,   2486916,   10601333
1240,   2464713,   10710601
1244,   2514588,   10810643
1248,   2516659,   10760491
1252,   2511668,   10970579
1256,   2545288,   11077423
1260,   2544305,   11323424
1264,   2580827,   11225115
1268,   2579510,   11509685
1272,   2613230,   11538534
1276,   2648071,   11713838
1280,   2630562,   12221514
1284,   2648603,   11946769
1288,   2679677,   11977243
1292,   2698180,   12180217
1296,   2734309,   12128780
1300,   2728976,   12396987
1304,   2745966,   12414401
1308,   2774633,   12664781
1312,   2782385,   12642470
1316,   2802263,   12869577
1320,   2838802,   12897367
1324,   2851396,    8566032
1328,   2877824,   13094841
1332,   2851529,   13353751
1336,   2886981,   13412305
1340,   2906971,   13631559
1344,   2907724,   13585110
1348,   2960849,   13824928
1352,   2940956,   13933293
1356,   2978924,   14204461
1360,   2993508,   14095895
1364,   3014771,   14637660
1368,   3032849,   14357257
1372,   3049408,   14487775
1376,   3068313,   14519783
1380,   3107328,   14683557
1384,   3127387,   14766560
1388,   3140508,   14975284
1392,   3162306,   15142898
1396,   3178160,   15233243
1400,   3198605,   15429138
1404,   3217760,   15535662
1408,   3240115,   16515060
1412,   3254403,   15773287
1416,   3255558,   15961269
1420,   3273046,   16142046
1424,   3285412,   16222796
1428,   3307383,   16378228
1432,   3346761,   16518202
1436,   3371160,   16658119
1440,   3364680,   16853412
1444,   3386723,   17068157
1448,   3404430,   17164981
1452,   3438767,   17356793
1456,   3442876,   17495695
1460,   3462855,   17621790
1464,   3521659,   17750644
1468,   3543717,   17972602
1472,   3538922,   18167112
1476,   3561544,   18259473
1480,   3560543,   18430023
1484,   3575620,   18676174
1488,   3621484,   18756832
1492,   3618382,   18983672
1496,   3656378,   19096403
1500,   3659993,   19399362
1504,   3697066,   19477767
1508,   3724835,   19668260
1512,   3738676,   19760668
1516,   3734003,   19961791
1520,   3799232,   20169313
1524,   3778944,   20399056
1528,   3798900,   20496318
1532,   3843102,   20582716
1536,   3834284,   21967014
1540,   3874633,   20965404
1544,   3875306,   21154618
1548,   3921170,   21361388
1552,   3915879,   21655955
1556,   3962404,   21732249
1560,   3959152,   21862308
1564,   4004006,   22132777
1568,   4019817,   22406599
1572,   4019533,   22472281
1576,   4040102,   22706852
1580,   4060389,   22756822
1584,   4101474,   23089265
1588,   4101573,   23323733
1592,   4122363,   23313195
1596,   4140056,   23566883
1600,   4163102,   23777194
1604,   4184197,   23899657
1608,   4226374,   24109679
1612,   4223685,   24496698
1616,   4248117,   24720561
1620,   4309931,   24643164
1624,   4312168,   24903606
1628,   4357156,   25202786
1632,   4333259,   25611590
1636,   4351632,   25683138
1640,   4418452,   25807978
1644,   4424046,   25904604
1648,   4420261,   26349954
1652,   4437731,   26293911
1656,   4486935,   26474971
1660,   4482932,   26723845
1664,   4544124,   27953787
1668,   4526394,   27066684
1672,   4550923,   27280327
1676,   4612733,   27610669
1680,   4589269,   27971679
1684,   4658263,   28140893
1688,   4633583,   28369946
1692,   4665373,   28561999
1696,   4720751,   29022430
1700,   4718998,   28965490
1704,   4767004,   29382191
1708,   4786328,   29429653
1712,   4787757,   29736592
1716,   4788895,   29687809
